,Reviews
1988,"
Camera if is good  and battery life very long
"
1989,"
Superb
"
1990,"




                    The media could not be loaded.
                



 Good performance
"
1991,"
I liked this product.Very good quality.
"
1992,"
I Like it because of light weight slimAnd smooth but some heating issue
"
1993,"
Front Camera is not so good, back one is good, I am disappointed with this mobile
"
1994,"
Superb quality no others phone like one plus
"
1995,"
Very nic speed delivered tnq Amazon
"
1996,"
superb....
"
1997,"
BatteryBack good
"
1998,"
Best services and all features are best to use easily
"
1999,"
Wrost products  & while return product excutive forsin for replacementg me
"
2000,"




                    The media could not be loaded.
                


"
2001,"
It's really very nice product
"
2002,"




                    The media could not be loaded.
                


"
2003,"




                    The media could not be loaded.
                


"
2004,"
Wastage of money. Not recommended at this price.
"
2005,"
Raddi phone ..never want to purchase it ... Oppo is better than this
"
2006,"
Heating Problem in phone and battery backup is low. Rest all is Good
"
2007,"
Sometimes it has bugs in some apps. Can be solved with minor update.
"
2008,"
Poor camera quality,
"
2009,"
Amezing quality of mobile
"
2010,"
Camera quality very bad , over price
"
2011,"
Phone is very nice.. worth for money
"
2012,
2013,"
Mobile is not good very bad camara Quality and automatic on DND mood
"
2014,"
Battery Backup is not Good it's getting down when net was connected.
"
2015,
2016,"
Value for money product
"
2017,"
Worse bettary back upWorse sound qualityI don't recommend to buy this
"
2018,"
Nice phone ,looking wise good,camera quality ,sound quality good
"
2019,"




                    The media could not be loaded.
                



 Nice mobile feeling better
"
2020,"
I m happy with this price...
"
2021,"
Totally good for to purchase
"
2022,"
Software is little slow, camera quality is average.
"
2023,"
ofline there is not available charger in any one plus store
"
2024,"
Phone stopped working within one month. This is very worse.
"
2025,"
Very nice mobile and also nice camera is good quality thank
"
2026,"
Fast charging
"
2027,"
Fingerprint is so fast, no legging no heating. Awesome camera, Smooth touch...
"
2028,"
I am satisfy with this
"
2029,"
Everything is best all over good in this range camera, performance,
"
2030,"
Fingerprint is good but battery or camera quality is toooo bad ....
"
2031,"
Phone hang and slow , camera quality is not bad, batery is not good
"
2032,"
Chinese mobile screen, hangs alot
"
2033,"
Phone charger 65 w but Charging very slow
"
2034,"
Slowness, battey ok, camera worst
"
2035,"
Android version good in so good in 8 gb ram prafomense very good 👍
"
2036,"
Over all phone good but camara too worst otherwise friendly use
"
2037,"
Great product
"
2038,"




                    The media could not be loaded.
                



 Nice product
"
2039,
2040,"
It is pretty nice device
"
2041,"
Battery problem not use mobile but battery lo fast
"
2042,"




                    The media could not be loaded.
                



 Good product but I am not happy
"
2043,"
Camera quality is goodFinger print is good 1day battery life
"
2044,"
Good cellphone but average cameras
"
2045,
2046,"
Superb
"
2047,"
Cemera quality is not good clearty is very poor.
"
2048,"
Nyc
"
2049,"
Amazing performance, I got with exchange offer . Thanks
"
2050,"
Charging first next not good camera options only 5./3 ***
"
2051,"
Good product
"
2052,"
Ovarall okay
"
2053,"
No ICICI discount credited
"
2054,"
No Nonsense Smartphone . Best in Looks and practicality .
"
2055,"
The phone is overall good and a valuable investment
"
2056,"
There is an audio problem with the mobile
"
2057,"
Mobile to accha hai par jabse aaya hai life sahi nhi chal rhi hai
"
2058,"
Waste of money .i m very disoppinted....to much heating problem..
"
2059,"




                    The media could not be loaded.
                



 स्लो मोशन परफॉर्मेंस
"
2060,"
Battery backup not soo good average.Camera is also average.
"
2061,"




                    The media could not be loaded.
                



 Phone slow and hangs
"
2062,"
Mobile Color as shown in picture is different from original color
"
2063,"
Only one an only problem is battery heating issue
"
2064,"
Nice mobile from one plus battery is little disappointed overall good mobile
"
2065,"
Redmi mobile ki copy hi same function 10thousand ke mobile me hai
"
2066,"
Hang problem
"
2067,"
Xxxxxxcxxxcellent phone....Xxxxxxxxxxtra ordinary..
"
2068,"
Heating issue and bettery performance down after one week usage
"
2069,"
Very good 😊
"
2070,
2071,"
I like this phone for high speed battery charging and RAM.
"
2072,"
rate ke accordingbrand naam ki cheez thik hai, baki kuchh vishes nahi.
"
2073,"
Like every feature
"
2074,"
Just too brilliant
"
2075,"
Bettery isu
"
2076,"
THE CAMERA QUALITY IS NOT FAIR BUT PHONE IS OHHHK NO PROBLEM ALL SO GOOD ...
"
2077,"
Good budget phone Light weight awesome phone
"
2078,"
Nice performance &good condition thanks one plus
"
2079,"
Not expected battery life
"
2080,"
Battery backup is not good in this price range
"
2081,"
Brought this phone for a gift n they loved it.
"
2082,"
Good
"
2083,"
Good
"
2084,"
Battery 🔋 decent and Camera quality is very Bad
"
2085,"
Satisfactory mobile....worth to purchase in this price category.
"
2086,"
WHY this mobile phone has no pocket mode
"
2087,"




                    The media could not be loaded.
                



 Battery power is not good
"
2088,
2089,"
Camera quality is poor as expected and average battery life
"
2090,"
Fingerprint sensor  good bettry life bad , camera good quality
"
2091,"
Liked the design and the most is battery charging speed.
"
2092,"




                    The media could not be loaded.
                



 Best of all
"
2093,"




                    The media could not be loaded.
                



 Cemra quality not good
"
2094,"
Iam not expected this type of battery
"
2095,"
Battery is not as described, should improve, rest is fine
"
2096,"
All are good .But resolution slightly low and battery Charge low
"
2097,"
Tha fast charge is unbelievable.
"
2098,"
So far so good.Hope to continue like that.
"
2099,"
Amazing experience with oneplus
"
2100,"
Ok product
"
2101,"
Excellent
"
2102,"
stock android is not that attractive as compared to Oxygenos.
"
2103,"
Quality of camera and touch screen is very good
"
2104,"
Technicain is lier, he is not Sumit current information
"
2105,"
Good product by one plus
"
2106,"
I am really happy
"
2107,"
Only camera is weakBest battery lifeFinger is nice.
"
2108,"
Camera very good ,, performance very good ,very very nice phone
"
2109,"
I want replace this product and need suport from Amazon
"
2110,"
One prblm faced.battery drain very fast
"
2111,"
Phone is nice but price is high. Cemra quility average.
"
2112,"
Like product as per quality, performance, features wise
"
2113,"
Very nice
"
2114,"
Battery life should be more otherwise it's a good option in that range.
"
2115,"
Best
"
2116,"
65w supervooc fast charger not workingIt takes 1 hour to charge
"
2117,"
Improve camera quality Android os
"
2118,"
Premium phone for Medium level of Users
"
2119,"
Little confusion in locating the app driver files, storage location.
"
2120,"




                    The media could not be loaded.
                


"
2121,"




                    The media could not be loaded.
                


"
2122,"
It's good
"
2123,"
Awesome phone, loved its features, camera quality is superb.
"
2124,"
Overall experience was not up to the mark as a One Plus user
"
2125,"
Good 1+ highly recommended for low budget user
"
2126,"
Very Good Phone Oneplus
"
2127,"




                    The media could not be loaded.
                



 Fantastic locking
"
2128,"
Battery life is very lowBad problemDo not purchase
"
2129,"
Outstanding performance, awesome quality,  great camera 🔥😍💐
"
2130,"
Superb mobile.camera is excellent.light weight and superfast mobile
"
2131,"
Nice One plus phone in this budget
"
2132,"
No voice call record option in phone
"
2133,"




                    The media could not be loaded.
                



 We want higher storage mobile
"
2134,"
It's ok with budget
"
2135,"
Ok
"
2136,"
Just bought it and it is fast, easy to use and light weight.
"
2137,"
Superb mobile
"
2138,"
Very good smartphone overall I loved it and recommending it to everyone.
"
2139,"
Ultimate
"
2140,"
Display Quality not good as compare to One plus other phone .
"
2141,"
Camera very good.but battery life and finger print is not up to the mark.
"
2142,"
Camera quality is very worstt
"
2143,"
Fingerprint accuracy good, battery life avarage, camera quality good.
"
2144,"
Like 3
"
2145,"
After 4 days usage of mobile, fast charging completely not working.
"
2146,"
Camera clarity good
"
2147,"
Battery charging is ultra , may be lighter in weight. Camera quality ok
"
2148,"
Processor Speed not good as well as battery life
"
2149,"
I like to the mobile charging speed, camera quality and battery backup...
"
2150,"
For its fast features
"
2151,"
Camera is dislike,bettry dislike,phone is very user friendly
"
2152,"




                    The media could not be loaded.
                



 So Nice Phone💙
"
2153,"




                    The media could not be loaded.
                



 heating problem
"
2154,"
Major problem in this phone is hotspots not working properly
"
2155,"
After usage of 15 days got colour spots on my screen
"
2156,"
Not bad
"
2157,"
All features very nice in this phone
"
2158,"
FEELS PREMIUM
"
2159,"




                    The media could not be loaded.
                



 I am so very happy
"
2160,"
Mobile was suddenly slow, when,I was using app selection
"
2161,"
Mobile is hanging it's very bad  dont take friends
"
2162,"
Very good mobile 👍Buy without doubt
"
2163,"
Excessive Heating issue in device
"
2164,"
Super
"
2165,"
CameraBatteryTouchpadEverythingWorth of money
"
2166,"
Itna mahnga ram ram ehte badiya aam khab pure season
"
2167,"
The phone osmBattery 10 ganta canteenuCamera 🤳 osm
"
2168,"




                    The media could not be loaded.
                


"
2169,"
Fingerprint and battery is just good not very good.
"
2170,"
Design good,full paisa wasool but camera quality is not so good but ok.
"
2171,"
Excellent Phone with lots of superb things.
"
2172,"
Performance is very important and it's here
"
2173,"
Fingerprint not working ..new phone...software problem,,,,,
"
2174,"
A single charge full day use. And camera was good.worth for money 💰
"
2175,"
There are too much problem of switching off and on feature.
"
2176,"
Good product, great display, charging capacity is also good
"
2177,"
I Like
"
2178,"
Speaker sound burst so i order for replacement, other all is good.
"
2179,"
Excellent
"
2180,"
Phone has heating issue and battery backup is poor.
"
2181,"
Awesome...great... superb
"
2182,"
audio quality best
"
2183,"
Waste of moneyThere is no latest update and camera quality
"
2184,"
Camera, bettary backup
"
2185,"
Not clear working ringtone
"
2186,"
smooth like a boss.
"
2187,"
Phone Lelo Ye vala Katai Zaher he!!!!I Love it !!!!!
"
2188,"
My first ever onle plus.just loved it..thank you amazon.!!
"
2189,"
Mobile hangs a lot it gets hangs atleast for 30 sec ,.
"
2190,"
Average quality phone with good camera in this price range
"
2191,"




                    The media could not be loaded.
                



 Good phone
"
2192,"
When calling or receiving screen is  totaly white
"
2193,"
good battery life also get early charging
"
2194,"
Got a good phone in the best price
"
2195,"
Good phone in this price
"
2196,"
Goog
"
2197,"
Cost price s higher than OnePlus own website site
"
2198,"
Not expected hitting nd network problem..
"
2199,"
Good 👍 so smooth tuch nice looking super
"
2200,"
Camera quality is not so good as expected
"
2201,"
Camera quality is too badAny other features are good
"
2202,"
Battery life is less than one day and phone is overheated
"
2203,"




                    The media could not be loaded.
                



 All is well.
"
2204,"
Best mobile Phone in this price segment
"
2205,"
Premium experienceEverything goes wellPhone is top notch
"
2206,"




                    The media could not be loaded.
                



 I liked
"
2207,"
Best quality phone
"
2208,"
Overall performance is OK. Camaera is 👎👎👎👎👎👎👎👎👎👎👎👎?
"
2209,"
It is actually an upgrade for me. I like the performance.
"
2210,"




                    The media could not be loaded.
                



 Excellent performance
"
2211,"
i didn't like the battery capacity else is fine.
"
2212,"




                    The media could not be loaded.
                



 Gud
"
2213,"
Nice 👍🏻
"
2214,"
Very good
"
2215,"
My experience first time use in onl plus brand mobile ..fill good
"
2216,"
Mobile ok but not OnePlus logo mentioned in the charger
"
2217,"
Very Happy
"
2218,"
Asmm🔥🔥🔥
"
2219,"
This phone is average not great value for money.
"
2220,"
It's so classic look and as expected by OnePlus
"
2221,"
There's nothing good about this phone expect the battery
"
2222,"
Finger print is nice but betery life osum camera good
"
2223,"
It's not a buy worth of the cost
"
2224,"
Phone all features good working.and smooth work.
"
2225,"
New phone getting hanged frequently.It was not expected.
"
2226,"
Awesome
"
2227,"
A great deal except battery drain but a plus point with 65w charger
"
2228,"
Performance not satisfactory.No value for money
"
2229,"




                    The media could not be loaded.
                


"
2230,"
All good quality
"
2231,"
Really liked the phone
"
2232,"
😍
"
2233,"
Perfect mid ranger phone from OnePlus
"
2234,"
Good camera quality best value for money love OnePlus.......TQ...
"
2235,"
Very nice
"
2236,"
Fantastic
"
2237,"
Back camera image very poor
"
2238,"
The phone is upto the mark and iam really happy
"
2239,"
Battery backup is not Good, poor Camera Quality
"
2240,"
Fast charging is amazing,camera is good
"
2241,"




                    The media could not be loaded.
                



 Nice phone
"
2242,"
Camera isn't that good overall good phone with clean ui
"
2243,"
Battery life and perfomance is good but camera is watse
"
2244,"
Camera & fingerprint is good but battery backup is poor
"
2245,"
Mobile heating issue not feeling like one plus brand.
"
2246,"
Average product quality
"
2247,"
Camera not that quality and average phone at this rate.
"
2248,"




                    The media could not be loaded.
                



 Good phone
"
2249,"




                    The media could not be loaded.
                



 I am happy
"
2250,"
Nice product but price should be less for this product.
"
2251,"
Does the job....
"
2252,"
Perfect respect to the price.
"
2253,"
Looking is good but experience very bad
"
2254,"
Some bugs are there,and heating problem during Playing games,
"
2255,"
Only camera quality is not good remaining all things best..
"
2256,"
Fabulous experience in this product 😃
"
2257,"
Battery back up could have been better
"
2258,"
All are fine but mobile is overheating this is mazor problem
"
2259,"
Extremely terrible camera and degraded OS performance.
"
2260,"
Phone hanging problems, not provide better performance
"
2261,"
Looks and features wise good
"
2262,"
Network problem & week in Calls & Data browser
"
2263,"
I like this phone becaz of this processor and features
"
2264,
2265,"
👍👍👍👍
"
2266,"
Battery back up is not good.with in half day back up was over
"
2267,"
Love the phone
"
2268,"
Camera was very poor compare any other brand mobile under 10000
"
2269,"
Love to have this phone but battery backup is not good
"
2270,"
Front camera quality is very poor...not recommended...
"
2271,"
Best all rounder in dis segmentCamera awesome 👌
"
2272,"
WORST BATTERY
"
2273,"
Budget OnePlus beast
"
2274,"




                    The media could not be loaded.
                



 Like it's awesome
"
2275,"
Nice design, good performance, best buy around 20000, with offers
"
2276,"
It gets very hot while playing the game...camara also 50-50
"
2277,"
Oneplus always provide best performance
"
2278,"
Extremely light in weight and feels premium
"
2279,"
All is working fine
"
2280,"
All things are good except camera and battery
"
2281,"
Camara clarity very poor. Performance is good
"
2282,"
Good quality mobile on affordable price range
"
2283,"
kuchh khas nhi hai thik thik hi hai ,
"
2284,"
Mobile getting heat .... Other then that everything is okay
"
2285,"
जब इनकी बैटरी नही चार्ज होगी तो मोबाइल का करेंगे क्या
"
2286,"
When sunshine then camera brightness is low automatic
"
2287,"
Camera Quality is very poor. Battery backup is good
"
2288,"
Except the camera phone is ok
"
2289,"
Nice mobile and fill all expectations
"
2290,"
battery life is low
"
2291,"
So far it's good ....
"
2292,"
I LIKE THIS MOBILE ALSO QUICKELY SERVICES IN SAME DAY
"
2293,"
It's camera quality is very good,processor is fast
"
2294,"
Bad experience with this phone , SIM not detected in phone.
"
2295,"
Phone having heating issue when using in call and other app uses
"
2296,"




                    The media could not be loaded.
                


"
2297,"
Battery life is good.overall mobile is nice.
"
2298,"
Product is very nice. It is working properly
"
2299,"
Just wow what a phone
"
2300,"
सभी खूबी एक तरफ और हीट होना एक तरफ, हीट होने पर charging slow
"
2301,"




                    The media could not be loaded.
                


"
2302,"
Small Budget But Good Mobile
"
2303,"
Gud camera and battery back up👍🏻
"
2304,"
good mobile
"
2305,"
Camera needs to be worked in high
"
2306,"
Nil
"
2307,"
Very bad phone and service
"
2308,"
Loved the phone. Looks like a very expensive phone
"
2309,"
So good
"
2310,"
Good
"
2311,"
Phon is very good quality but charge is finished very first,
"
2312,"
Looking so nice and camera clarity is super
"
2313,"
Overall better phone in this price segment.
"
2314,"
Camera is not so quality need improvement..
"
2315,"
Started hanging after using one month only.
"
2316,"
Qualities poorProcessor is very low hanging problem
"
2317,"
Phone is good but getting heat more
"
2318,"
Very nice product , value for money
"
2319,"
This is an amazing  phone in this segment of budget
"
2320,"
Camera in indoor is very poor and also in nightmode
"
2321,"
Phones is Just awesome camera quality is excellent.
"
2322,"
Over all this phone is good. Battery is at its best
"
2323,"
Everything is good in low price,ThnQ amazon
"
2324,"
Nice Product
"
2325,"
Phone is heating during charging...rest ok
"
2326,"
Good product value for money 💰💰💰
"
2327,"
Charging adaptor found not functioning.
"
2328,"
Sometimes hang mobileI'm dispointed for this Mobile
"
2329,"
Slow and hanged
"
2330,"
Vera11 just now got it.It looks good and charging speed awesome.
"
2331,"
Amazing one plus...just enjoying
"
2332,"
Every thing is good
"
2333,"
Camera is very good
"
2334,"
Somewhat disappointed with performance but look wise ok
"
2335,"
Battery life, fingerprint and cers quality is quite good.
"
2336,"
Pubg Lag And Device Hang Issue Recording Main Issue
"
2337,"
Good
"
2338,"
Best
"
2339,"
It's camera is 64 mgp but night time is vast low quality.
"
2340,"
Look wise phone is good however it's heats
"
2341,"
Just loved the beast. Everything is best in this phone..
"
2342,"
Less value of phone as per cost...
"
2343,"
Charger not working in box but not response amazon
"
2344,"
Good
"
2345,"




                    The media could not be loaded.
                


"
2346,"
One are good but some time i feel real me much better 🙂
"
2347,"
Don't buy battery problem
"
2348,"
Fingerprint fine,bettery awesome,camera quality avarage
"
2349,"
WEIGHT LOSS PHONE
"
2350,"
Mobile phone is very good,camera quiltey is pour.
"
2351,"
Camera quality is very poorVery bad quality
"
2352,"
In best price got a good product, simply horsome.
"
2353,"
Camera: averageUI - Average
"
2354,"
Veery nive
"
2355,"
Looks good
"
2356,"




                    The media could not be loaded.
                



 Best
"
2357,"




                    The media could not be loaded.
                


"
2358,"
great at this price range
"
2359,"
Battery 🔋 life 1day nice finger print
"
2360,"
Good phone
"
2361,"
Amazing features.
"
2362,"
Not good ...photo clarity was not good and it was hanging ...
"
2363,"
Bettery life is very low one day bhi nahi chalti
"
2364,"
Bad experience
"
2365,"
phone going to extreme level heating like a fire
"
2366,"
Camera very slow ( Directing )  & finger print
"
2367,"
Good camera quality and powerful battery
"
2368,"
Charging is really fast. Camera quality is poor.
"
2369,"
Camera is great....tge only issue is the battery
"
2370,"
Great mobile.. Purchase without any hesitation
"
2371,"
Good 😊👍
"
2372,"
This product is for personal use
"
2373,"
Wonderful
"
2374,"
Very good
"
2375,"
this gadget is very fast
"
2376,"




                    The media could not be loaded.
                



 Nice
"
2377,"
Excellent
"
2378,"
Not recorded all numbers only record unsaved no.
"
2379,"
Good performance
"
2380,"
Picture quality is good and it's worth of money
"
2381,"




                    The media could not be loaded.
                



 Ok
"
2382,"
Hi EveryoneThis product is amazing 😍😍😍
"
2383,"
3.5 mm jack socket not working.
"
2384,"
Self use
"
2385,"
Camera quality good.... awasome mobile I am. So happy
"
2386,"




                    The media could not be loaded.
                



 I phone 13
"
2387,"
Nice one
"
2388,"
Osm camera quality bt need to work on battery backup
"
2389,"
Overall a good offering from Oneplus within 25k price range.
"
2390,"
Just go for it.
"
2391,"
Good product in this price but delivery time so long
"
2392,
2393,"
West of money
"
2394,"
OnePlus nord CE 2 over heating problem
"
2395,"
Phone working is very smooth fast work
"
2396,"
LIKE BUT FUNCTION OF RECORDING DISLIKE
"
2397,"
Superb
"
2398,"
All is well ..... Camra quality is very low***
"
2399,"
Good phone in this price range
"
2400,"
Best phone in this price point
"
2401,"
Good
"
2402,"
If back camera comes with sony sensor it will be nice.
"
2403,
2404,"




                    The media could not be loaded.
                


"
2405,"
Never buy this product
"
2406,"
Very good mobile
"
2407,"
Charging issue Battery take 1h charge 70%-100%
"
2408,"
Amazing display and low weight...easy to use in one hand...
"
2409,"




                    The media could not be loaded.
                



 Camera is ok
"
2410,"
Camera and all features are excellent must buy
"
2411,"
Nice
"
2412,"
Superb OnePlus nord ce2Maja aa gaya tq OnePlus
"
2413,"
In this phone little Lagging issue.
"
2414,"
Excellent 👌👌
"
2415,
2416,"
Overall good product
"
2417,"
Charge very fast almost full in 40min
"
2418,"
Battery charging not working properly
"
2419,"
Camera is better then one plus nord 2
"
2420,"
Don't by product Battry issues in this mobile
"
2421,"
Excellent 👍🏻
"
2422,"
Not worth to the price money.
"
2423,"
Battery performance good but camera quality is like poor
"
2424,"




                    The media could not be loaded.
                



 Very bad
"
2425,"
Only camera quality issue except all is well.
"
2426,"
Awesome perfect phone
"
2427,"
Don't read too many reviews. Just buy it ☑️
"
2428,"
Overall not good this product
"
2429,"
15 मिनिट यूज किया तो फोन गरम हो जाता है ।
"
2430,"
Over-all nice product in this range. Give it a try.
"
2431,"
Good
"
2432,"
Phone process is very slow compare to other phone
"
2433,"
Some OS issue,  after 1week using...
"
2434,"
Processor to kaafi acha hai but camera worthless hai
"
2435,"




                    The media could not be loaded.
                


"
2436,"




                    The media could not be loaded.
                


"
2437,"




                    The media could not be loaded.
                


"
2438,"




                    The media could not be loaded.
                


"
2439,"
It's nice product and will feel some special
"
2440,"




                    The media could not be loaded.
                


"
2441,"
BACK CAMERA AND BATTERY LIFE
"
2442,"
Excellent I Love It One plus
"
2443,"




                    The media could not be loaded.
                


"
2444,"




                    The media could not be loaded.
                


"
2445,"
Very nice mobil  tq amozn
"
2446,"
Superb quality value for money and  great quality 👍
"
2447,"
One plus bad signals
"
2448,"
Not upto the mark 🍂
"
2449,"
It is slow. My realme works better than this
"
2450,"
Amazing phone 📱📱 battery 🔋🔋 is fantastic
"
2451,"




                    The media could not be loaded.
                


"
2452,"
Battery capacity axi nhi h
"
2453,"
worst camera quality
"
2454,"




                    The media could not be loaded.
                


"
2455,"




                    The media could not be loaded.
                


"
2456,"
Good product with this price and worthy it......
"
2457,"
Camera not good Heating when changed. Slow charging.
"
2458,"




                    The media could not be loaded.
                


"
2459,"
Could have been better but worth the cost
"
2460,"
Fast charging it tooks maximum 20 minutes for charging.
"
2461,"
Nyccc
"
2462,"
Some time mobile is not working....or got hanged..
"
2463,"
You can try another OnePlus product
"
2464,"
Camera is good but could be better.
"
2465,"




                    The media could not be loaded.
                



 Good runing
"
2466,"
Good capture from 40th floor at Le Meridien
"
2467,"
8 gb ramBut no any extra effect of it
"
2468,"
02 Sim left in exchanged phone redmi note 7
"
2469,"
VERY GOOD PHONE ALL OVER OF OPTION IS VERY COMFORTABLE
"
2470,"
Phone is good but if you want it for camera
"
2471,"
Ab OnePlus me woh baat nhi rah gay
"
2472,"
Good
"
2473,"
Very good mobile bute batter is low
"
2474,"
Overall not satisfy
"
2475,"
poor photos quality
"
2476,"
Bad device very Bad
"
2477,"
Super
"
2478,"
Very good phone
"
2479,"
Dear sir One pluscamera quality is not good
"
2480,"
Camera is not best this are average
"
2481,"
Automatically changed the night mode option
"
2482,"
Excellent Product 👌👌👌
"
2483,"
Mobile heng
"
2484,"
Everything is good but camera is not that upto the mark.
"
2485,"
Excellent
"
2486,"
Amazon ki best sellers service h badiya phone
"
2487,"
Sab badhia hai bas camera thoda better ho sakta tha
"
2488,"
Beautiful Looks and Very Comfortable to carry it
"
2489,"
Quick ball option not available...
"
2490,"
Very easy use and quality products
"
2491,"
Here is no feature for auto call recording
"
2492,"
Camera quality is not good
"
2493,"
Speaker quality is so poor
"
2494,"
CameraBatteryDesign1plus brand
"
2495,"
Please do not purchase mobileVery bad mobile
"
2496,"
Good Phone in This Price
"
2497,"
Dislike the performance battery camera
"
2498,"
Very nice in budget
"
2499,
2500,"
Good phone camera are average but overall thing is nice
"
2501,"
Amazing wonderful beautiful phone
"
2502,"
Phone is having sound issue... How to get ready
"
2503,"
Mobile phone is good but unhappy with Amazon service.
"
2504,"
Phone is over heating and performance is very bad and
"
2505,"
Good phone for the price.
"
2506,"
Finger print, battery life, camera quality is best
"
2507,"
After using 20 day's. mobile speaker is not working.
"
2508,"
Calling voice Quality is very bad
"
2509,"
fingerprint and battery 🔋 good condition
"
2510,"
Good efforts but camera could've improved
"
2511,"
Poor quality mother board heating quickly
"
2512,"
Amazing phone with top quality photograph
"
2513,"
Nice product diliver by AmazonAll good
"
2514,"
Battery drains fast, charger is awesome
"
2515,"




                    The media could not be loaded.
                



 👍 good
"
2516,"
Become hot after using back and front side
"
2517,"
Dislike speakers and like fluid browsing.
"
2518,"
Slow work mobile camera best battery slow
"
2519,"
It help in my job
"
2520,"
worst camera ever
"
2521,"
Best product in average budget.
"
2522,"
Tottal amount loss dant purchesed too bad product
"
2523,"
battery backup worst and Mobile Worst
"
2524,"
Not up to the mark..please dont buy this phone
"
2525,"
Go for 8 gb variant as 4.5 gb ram is always used
"
2526,"
poor camera quality
"
2527,"
Very smooth functioning and Jack of all trades
"
2528,"
Very nice
"
2529,"
It is amazing Phone 📱.
"
2530,
2531,"
Battery discharging quickly. Not even 24 hours
"
2532,"
Very smooth and nice performance
"
2533,"
Good lookingGood functions
"
2534,"
Battery hour low require 5000mha
"
2535,"
The camera and softwear is best.
"
2536,"
Don't have enough battery backup
"
2537,"
Charging this phone is very good
"
2538,"
Battery backup not good, hanging problem
"
2539,"
Good quality and most expensive product.
"
2540,"
Isn't as good as i thought about 1 plus.
"
2541,"
But phone is to heating when play a bgmi
"
2542,"
Battery back is not good
"
2543,"
Good and useful product.
"
2544,"
Battery life is very bad
"
2545,"




                    The media could not be loaded.
                


"
2546,"




                    The media could not be loaded.
                



 Like
"
2547,"
I'm not satisfied to take with battery backup.
"
2548,
2549,
2550,
2551,"
Need updates and improve camera quality.
"
2552,"
Camera quality not like one plus phones.
"
2553,"
Nord ce 2 camera nd battery good quality
"
2554,"
Battery life not good place replies my hand set
"
2555,"
Good performance
"
2556,"




                    The media could not be loaded.
                



 Very bed
"
2557,"
Finger print = Fantastic
"
2558,"
Need battery improvement
"
2559,"
All good
"
2560,"
Awesome 👍
"
2561,"
Like but battery is too disappointed ☹️
"
2562,"
Camera quality and design are not good.
"
2563,"
Camara Quality is Nice.
"
2564,"
Overall Average
"
2565,"
The speaker volume is not upto the mark
"
2566,"
Nice design, i am happy with the mobile dsiaply
"
2567,"
Mast battery life and camera quality jabardast
"
2568,"
Performance is Very Good
"
2569,"
Awesome product
"
2570,"
Owasome phone by one plus with bugdet .
"
2571,"
Awesome thank you OnePlus team and Amazon
"
2572,"
Avoid buying budget mobiles in OnePlus
"
2573,"
Awesome
"
2574,"
Lke
"
2575,"
Superb product by OnePlus in this price range..
"
2576,"
Liked everything of this phone
"
2577,"
Very bad and heating issues 😓😓😓😥
"
2578,"
worst product
"
2579,"
Nice phone in this price range
"
2580,"
Very good mobile in this price
"
2581,"
Go for it without second thought!
"
2582,"
We need a display resolution upto 2160 pixel
"
2583,"
Camera , battery screen all are superb
"
2584,"
Average type phone in this price range
"
2585,"




                    The media could not be loaded.
                



 Ok
"
2586,"




                    The media could not be loaded.
                


"
2587,"
Good
"
2588,"
BATTERY BACKUP IS POOR
"
2589,"
All r Good At This Price ❤️ IT
"
2590,"




                    The media could not be loaded.
                


"
2591,"
Fingerprint nice, camera not best
"
2592,"
Camera quality is below expections.
"
2593,"
Good mobile
"
2594,"
I like the camera quality in day not in night
"
2595,"
Over all everything is good
"
2596,"
It's a good phone who want to switch from MI
"
2597,"
Nice phone
"
2598,"
The best phone in price range
"
2599,"
Battery performance very good
"
2600,"
It was good product in budget
"
2601,"
Nice Mobile phone
"
2602,"
Jiyyo e Mitra e clinic AAP is not camera support
"
2603,"
Phone hangs alotHighly disappointed
"
2604,"
I like this mobileTheir are so many feature.
"
2605,"
Please improve the battery quality...
"
2606,"
Excellent performance
"
2607,"




                    The media could not be loaded.
                



 Good
"
2608,"
Phone Badiya Lekin Camera thik thak h
"
2609,"
Camera quality not  interested bilkul
"
2610,"
Best phone 📱
"
2611,"
Normal' fon finger 🤘 battery normal kolite
"
2612,"
One plus NARD CE 5g good mobile 📲📲🔥🔥🔥
"
2613,"




                    The media could not be loaded.
                


"
2614,"
All Good and battery 🔋 Life so low
"
2615,"
Best performance
"
2616,"




                    The media could not be loaded.
                


"
2617,"
Super
"
2618,"
In this price samsung a32 is better than nord ce2
"
2619,"
After one month used the best mobile
"
2620,"
Product is awesome nice color and nice look
"
2621,"
Very good Phone . valuable of money.
"
2622,"
Vera level phone pakka sound quality
"
2623,"
turned out to be more than I thought
"
2624,"
इस फोन मे कोई भी वस्तु अच्छी नहीं है
"
2625,"
Bad camera quality, bad battery life
"
2626,"
Processor is good but camera is okok
"
2627,"
Everything is Good as Per Price...
"
2628,"
phone getting hanged
"
2629,"
nice product
"
2630,"
I like phone
"
2631,"
Worth buying
"
2632,"
The phone is awesome
"
2633,"
Mobile frequently heating and system slow
"
2634,"
Just awesome
"
2635,"
battery life thodi aur increase honi chahiye thi
"
2636,"
Camera is good. Sound quality is also good.
"
2637,"
Camera , battery all are good.Overall a good bye.
"
2638,"




                    The media could not be loaded.
                


"
2639,"
Overall average in this price range
"
2640,"
Like everyone love everyone
"
2641,"
Awesome phone in this range
"
2642,"
Battery life is very poor..
"
2643,"
I Am Happy good performance
"
